timestamp,lap time,stroke count,stroke type
2023-11-01T00:25:29Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-01T00:26:31Z,00:00:17.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-01T00:27:15Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-01T01:02:52Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-01T02:01:05Z,00:00:16.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-01T14:41:45Z,00:00:25.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-01T14:44:31Z,00:00:10.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-01T15:07:49Z,00:00:37.000,17,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-01T15:08:50Z,00:00:17.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-01T15:10:54Z,00:00:36.000,14,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-01T15:36:28Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-01T15:37:03Z,00:00:29.000,14,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-01T15:37:37Z,00:00:08.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-01T17:26:20Z,00:00:17.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-01T17:33:48Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-01T18:44:24Z,00:00:14.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-01T18:46:37Z,00:00:17.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-01T18:49:45Z,00:00:22.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-01T18:50:20Z,00:00:21.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-01T18:59:35Z,00:00:19.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-01T19:49:37Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-01T20:11:47Z,00:00:17.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-01T21:18:25Z,00:00:18.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-01T21:23:31Z,00:00:22.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-01T21:35:10Z,00:00:36.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-01T21:44:00Z,00:00:15.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-01T22:14:42Z,00:00:19.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-01T23:45:27Z,00:00:13.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-01T23:46:01Z,00:00:12.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-01T23:50:39Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-01T23:51:00Z,00:00:23.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-01T23:52:37Z,00:00:35.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-01T23:53:45Z,00:00:29.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-01T23:55:11Z,00:00:14.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-01T23:58:20Z,00:00:16.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-01T23:59:04Z,00:00:29.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-01T23:59:50Z,00:00:17.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-02T00:02:01Z,00:00:32.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-02T00:04:35Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-02T00:05:38Z,00:00:21.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-02T00:06:38Z,00:00:20.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-02T00:12:53Z,00:00:09.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-02T00:14:33Z,00:00:14.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-02T02:13:51Z,00:00:16.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-02T02:14:16Z,00:00:23.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-02T14:15:16Z,00:00:17.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-02T14:32:07Z,00:00:17.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-02T14:32:31Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-02T14:36:40Z,00:00:22.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-02T14:37:13Z,00:00:20.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-02T14:38:29Z,00:00:30.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-02T15:13:34Z,00:00:20.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-02T15:23:01Z,00:00:11.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-02T15:24:25Z,00:00:15.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-02T15:25:49Z,00:00:19.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-02T15:59:02Z,00:00:17.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-02T16:06:37Z,00:00:45.000,11,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-02T16:07:53Z,00:00:33.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-02T22:42:10Z,00:00:16.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-02T23:33:08Z,00:00:15.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-02T23:56:06Z,00:00:17.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-02T23:57:34Z,00:00:17.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-02T23:58:37Z,00:00:32.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-03T00:00:25Z,00:00:33.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-03T00:02:32Z,00:00:48.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-03T00:06:15Z,00:00:37.000,10,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-03T00:10:19Z,00:00:23.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-03T00:11:34Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-03T00:12:22Z,00:00:16.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-03T01:25:39Z,00:00:29.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-03T12:49:38Z,00:00:19.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-03T12:52:05Z,00:00:29.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-03T12:53:07Z,00:00:33.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-03T12:58:52Z,00:00:28.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-03T12:59:27Z,00:00:13.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-03T13:09:39Z,00:00:19.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-03T13:12:47Z,00:00:15.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-03T15:02:32Z,00:00:14.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-03T15:44:08Z,00:00:12.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-03T15:44:47Z,00:00:23.000,12,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-03T15:46:07Z,00:00:11.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-03T16:17:22Z,00:00:09.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-03T16:35:56Z,00:00:12.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-03T16:36:34Z,00:00:14.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-03T16:38:19Z,00:00:24.000,9,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-03T16:39:34Z,00:00:21.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-03T16:42:35Z,00:00:27.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-03T16:43:23Z,00:00:14.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-03T16:47:03Z,00:00:15.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-03T16:49:25Z,00:00:17.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-03T16:51:47Z,00:00:34.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-03T16:52:56Z,00:00:32.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-03T16:54:32Z,00:00:26.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-03T16:55:56Z,00:00:23.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-03T23:49:17Z,00:00:14.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-03T23:51:13Z,00:00:15.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-03T23:53:07Z,00:00:36.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-03T23:54:25Z,00:00:27.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-03T23:55:06Z,00:00:28.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-03T23:56:12Z,00:00:44.000,7,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-04T02:57:55Z,00:00:10.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-04T03:01:27Z,00:00:13.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-04T04:09:07Z,00:00:09.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-04T13:32:24Z,00:00:15.000,6,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-04T13:42:03Z,00:00:13.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-04T13:44:57Z,00:00:20.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-04T15:03:42Z,00:00:21.000,8,SWIM_STROKE_TYPE_UNSPECIFIED
2023-11-04T15:26:55Z,00:00:14.000,5,SWIM_STROKE_TYPE_UNSPECIFIED
